area_name,description,house_type,m2,price,price_sqm,build_year,floor,has_elevator,condition,own_property,energy_class,fetchedAt
Laajasalo,"4h, k, s, kph, ",rt,"116,00",375000,3233,1987,-1/2,ei,tyyd.,oma,,2024-01-16
Yliskylä,"3-4h, kt, sauna",kt,"85,00",348000,4094,2020,1/4,on,hyvä,oma,B2018,2024-01-16
Käpylä,"3h, k, kph, par",kt,"60,00",268000,4467,1952,3/4,ei,hyvä,vuokra,E2007,2024-01-16
Ullanlinna,"3h, kk, kph, wc",kt,"60,00",344000,5733,1927,1/7,ei,huono,oma,E2013,2024-01-16
Munkkivuori,"3 h, k, kph, p ",kt,"60,50",295000,4876,1960,2/4,ei,hyvä,vuokra,D2018,2024-01-16
Lauttasaari,"3h, k, kh, p",kt,"65,00",362000,5569,1959,1/3,ei,hyvä,oma,F2013,2024-01-16
Kamppi,3 h+k+kph+wc,kt,"74,70",452000,6051,1908,2/5,ei,huono,oma,E2018,2024-01-16
Taka-töölö,3 h+k+kph,kt,"81,00",600000,7407,1939,,ei,hyvä,oma,E2018,2024-01-16
Aurinkolahti,"3h, k, kph, s, ",kt,"82,00",313000,3817,2007,1/2,on,hyvä,oma,C2007,2024-01-16
Kallio,"3h, avok, kph, vh",kt,"57,00",297000,5211,1959,2/7,on,hyvä,oma,F2013,2024-01-16
Kannelmäki,3h+kk,kt,"60,00",196000,3267,1959,2/3,ei,,vuokra,E2018,2024-01-16
Jätkäsaari,"3h, kt, kph, sa",kt,"64,00",458000,7156,2021,4/6,on,hyvä,oma,B2018,2024-01-16
Lauttasaari,3h+k+kph,kt,"65,00",410000,6308,1958,3/3,ei,hyvä,oma,E2007,2024-01-16
Käpylä,"3h, k, kph, er",kt,"67,00",357000,5328,1952,3/3,ei,tyyd.,vuokra,E,2024-01-16
Puotila,3h+k+kph+vh+p (,kt,"57,00",218000,3825,1961,1/3,ei,hyvä,vuokra,F2013,2024-01-16
Kannelmäki,"3h, k, kph, las",kt,"62,00",212000,3419,1976,2/6,on,hyvä,oma,D2007,2024-01-16
Maunula,3h+k,kt,"62,50",220000,3520,1962,2/4,ei,hyvä,vuokra,E,2024-01-16
Pitäjänmäki,"3h,avok,kph,s,v",kt,"73,50",260000,3537,1986,2/3,ei,hyvä,oma,C2018,2024-01-16
Lauttasaari,"3h, avokeitti",kt,"83,00",630000,7590,2014,3/6,on,hyvä,oma,B2018,2024-01-16
Oulunkylä,3h+kk+kph+p,kt,"59,00",268100,4544,2023,5/5,on,hyvä,,B2018,2024-01-16
Etelä-haaga,3h+k+vh+kph+las,kt,"72,00",388000,5389,1970,1/3,on,hyvä,oma,G2007,2024-01-16
Kontula,"3h, k, kph, eri",kt,"73,00",168000,2301,1967,1/3,ei,hyvä,vuokra,G2013,2024-01-16
Ruoholahti,"3h, k, kph, sau",kt,"74,50",373000,5007,1993,2/6,on,tyyd.,vuokra,C2018,2024-01-16
Kallio,"2-3 h+k+kph/wc,",kt,"81,00",450000,5556,1939,3/6,on,hyvä,oma,F2013,2024-01-16
Lauttasaari,"3h, avok, s, la",kt,"73,00",540000,7397,2015,2/7,on,hyvä,oma,B2018,2024-01-16
Hernesaari,"3h, k, kph, vh,",kt,"73,00",580000,7945,1974,7/8,on,hyvä,oma,F2013,2024-01-16
Tapanila,"3h,k,vh, 2las.p",kt,"62,00",104000,1677,1974,1/3,ei,huono,oma,E2013,2024-01-16
Lauttasaari,"3h,kt,s",kt,"68,50",479000,6993,2017,6/6,on,hyvä,oma,C2013,2024-01-16
Vartiokylä,"3h, k, kph/s, p",kt,"72,50",215000,2966,2000,4/5,on,tyyd.,vuokra,E2007,2024-01-16
Itäkeskus,"3h, k, p",kt,"73,00",169000,2315,1984,2/3,ei,hyvä,vuokra,E2018,2024-01-16
Munkkiniemi,3h+avokeitti,kt,"53,00",375000,7075,1941,5/5,on,hyvä,oma,G2013,2024-01-16
Etelä-haaga,3h+k+p (yj 3h+k),kt,"58,00",297000,5121,1953,3/3,ei,hyvä,oma,F2018,2024-01-16
Puotila,"3h, k, kph, par",kt,"66,00",190000,2879,1961,1/3,ei,huono,vuokra,E2007,2024-01-16
Etelä-haaga,"3h, k, 2 parvek",kt,"66,00",320000,4848,1964,3/3,ei,tyyd.,oma,G2018,2024-01-16
Laajasalo,3h+k,kt,"68,50",231000,3372,1970,1/3,on,tyyd.,oma,F2018,2024-01-16
Kamppi,"3h,kph,vh",kt,"70,00",359000,5129,1928,4/5,on,huono,oma,F2013,2024-01-16
Maunula,3h+k+kph+p (yht,kt,"63,00",240000,3810,1962,1/4,ei,hyvä,vuokra,E2018,2024-01-16
Kruunuvuorenranta,"3h, k, kph, las",kt,"68,00",305000,4485,2018,4/7,on,hyvä,vuokra,B2018,2024-01-16
Kurkimäki,3h+k+piha,rt,"74,00",173000,2338,1985,1/2,ei,hyvä,vuokra,F2018,2024-01-16
Vanhankaupunginkoski,"3h, keittiö",kt,"77,00",407000,5286,2009,3/5,on,hyvä,oma,F2013,2024-01-16
Herttoniemi,3 H+K+S+VH,kt,"67,50",365000,5407,2017,5/7,on,hyvä,oma,C2013,2024-01-16
Lassila,"3h, k, kph/s, e",kt,"81,00",185000,2284,1981,2/2,ei,tyyd.,oma,E2018,2024-01-16
Patola,"3h, k, rt, kph, wc",kt,"81,00",220000,2716,1973,2/3,ei,hyvä,oma,,2024-01-16
