full_address,postal_code,area_name,apartments_count,avg_rent_sqm,year_built,coordinates
Gunillantie 7,00870,Laajasalo,30,12.15,1996,"60.1682399,25.0390805"
Gunnel Nymanin katu 5,00560,Kumpula,75,14.3,2004,"60.20746279999999,24.9794096"
Haagan pappilantie 15,00320,Etelä-Haaga,12,10.59,1972,"60.2195378,24.8967723"
Haakoninlahdenkatu 1,00590,Laajasalo,100,14.91,2020,"60.1689255,25.0192254"
Haakoninlahdenkatu 3,00590,Laajasalo,78,14.91,2020,"60.1673983,25.019932"
Haakoninlahdenkatu 5,00590,Laajasalo,108,15.0,2021,"60.1664202,25.0190498"
Haapalahdenkatu 5,00300,Pikku,68,12.81,1991,"60.2061044,24.8890823"
Haavikkotie 14,00630,Maunula,102,11.22,1954,"60.2257269,24.9280891"
Halkaisijantie 2,00980,Vuosaari,100,12.57,1991,"60.20320809999999,25.1275043"
Hallainvuorentie 1,00920,Myllypuro,75,12.23,2001,"60.22893440000001,25.0554824"
Halmetie 4,00700,Malmi,47,12.69,1994,"60.2573705,25.0181957"
Hämeentie 109,00560,Kumpula,77,13.93,2003,"60.20255400000001,24.9663658"
Hämeentie 122,00560,Kumpula,187,11.76,1958,"60.20470879999999,24.9691044"
Hämeentie 128,00560,Kumpula,96,13.45,1959,"60.20581649999999,24.971865"
Hämeentie 63,00550,Hermanni,54,12.65,1953,"60.1933724,24.9651564"
Hampurinkuja 1,00220,Jätkäsaari,91,15.56,2018,"60.1564925,24.9183638"
Harjannetie 13,00710,Pihlajisto,39,13.79,2015,"60.2296918,24.9932426"
Harjannetie 44,00710,Pihlajisto,90,13.6,2013,"60.22496049999999,24.9893253"
Harjannetie 47,00710,Pihlajisto,40,12.95,2010,"60.223994,24.988122"
Harjannetie 5,00710,Pihlajisto,112,12.86,2002,"60.23054869999999,24.9962479"
Harmaahaikarankuja 2,00940,Kontula,171,11.64,1986,"60.2291639,25.0675562"
Hattelmalantie 6,00710,Pihlajisto,16,11.8,1995,"60.231681,24.9965941"
Haukilahdenkatu 6,00550,Hermanni,73,13.33,1995,"60.1986335,24.9671501"
Haukilahdenkuja 11,00550,Hermanni,64,13.45,1995,"60.1973491,24.9694497"
Heikinlaaksontie 1,00760,Puistola,46,11.15,1998,"60.2704687,25.0726571"
Hellemäenpolku 8,00350,Munkkivuori,96,12.98,1991,"60.2118775,24.8844136"
Henrik Lättiläisen katu 12,00710,Pihlajisto,50,13.7,2014,"60.2234593,24.9847502"
Hernepellontie 26,00560,Kumpula,58,13.14,2011,"60.22655529999999,24.9963572"
Aarrekuja 1,00940,Kontula,29,11.65,1990,"60.238968,25.0999995"
Aarteenetsijäntie 2,00970,Mellunmäki,156,10.76,1985,"60.23928439999999,25.1052639"
Abraham Wetterin tie 11,00810,Herttoniemenranta,66,11.18,1989,"60.1931299,25.0470047"
Abraham Wetterin tie 17,00810,Herttoniemenranta,62,11.18,1989,"60.19363249999999,25.0499833"
Abraham Wetterin tie 18,00880,Herttoniemi,67,13.65,2015,"60.1932664,25.0461097"
Adalmiinankatu 3,00960,Vuosaari,36,13.1,2002,"60.2198032,25.152337"
Agronominkatu 4,00790,Viikki,93,12.74,2005,"60.2344296,25.0346559"
Airoparintie 1,00980,Vuosaari,60,12.94,1992,"60.2113791,25.1344135"
Aisatie 8,00750,Puistola,48,12.11,1986,"60.28062259999999,25.0371416"
Alakiventie 5,00920,Myllypuro,156,12.72,1975,"60.22096980000001,25.0770935"
Alakiventie 8,00920,Myllypuro,36,10.3,1977,"60.2195918,25.0751702"
Aleksis Kiven katu 40,00510,Alppila,45,15.22,1909,"60.1901629,24.9500563"
Alhokuja 8,00780,Tapaninvainio,104,11.86,1989,"60.26315399999999,24.985716"
Alppikylänkatu 1,00770,Tattarisuo,36,12.95,2010,"60.2606111,25.0668922"
Amiraalinkatu 3,00160,Katajanokka,55,14.49,1980,"60.16683639999999,24.9735114"
Antareksenkatu 3,00540,Hanasaari,63,15.96,2012,"60.1845361,24.980152"
Arentitie 8,00410,Malminkartano,120,11.44,1978,"60.2461548,24.8555987"
Arhotie 20,00900,Puotinharju,59,10.38,1964,"60.21825149999999,25.0868452"
Asetelmankatu 1,00430,Hakuninmaa,52,16.54,2024,"60.2584467,24.891586"
Asiakkaankatu 4,00930,Itäkeskus,96,11.97,1977,"60.2082191,25.0802253"
Asteritie 7,00720,Pukinmäki,94,12.69,1992,"60.2468663,24.999085"
Atlantinkatu 11,00220,Jätkäsaari,55,15.82,2020,"60.1543174,24.9097256"
Bahamankatu 2,00220,Jätkäsaari,61,15.67,2019,"60.15512949999999,24.9097251"
Böstaksentie 2,00740,Siltamäki,28,14.0,2013,"60.2795441,25.0080447"
Capellan Puistotie 24,00580,Hermanni,88,17.15,2021,"60.188942,24.981264"
Eskolantie 4,00720,Pukinmäki,51,14.6,2015,"60.2446673,24.9929199"
Fallinkuja 2,00690,Torpparinmäki,19,12.62,1994,"60.26284750000001,24.9520102"
Fallpakankuja 5,00970,Mellunmäki,131,10.97,1990,"60.2293723,25.1310999"
Fallpakantie 2,00970,Mellunmäki,29,13.69,2009,"60.22902260000001,25.1330351"
Graniittitie 3,00710,Pihlajisto,79,12.1,1993,"60.2346894,25.0074988"
